feature,p90,p95
current_rtt_ms,68.31970036029816,77.21655189990994
current_rttvar_ms,0.6200000047683716,0.8029999732971191
current_delivery_rate_mbps,92.75989949703215,165.61209082603455
windowed_delivery_rate_mbps,92.45065867900848,164.96315777301783
max_windowed_delivery_rate_mbps,92.59827733039856,170.53222775459287
current_loss_mbps,0.0,0.0
current_min_rtt_ratio,0.9732346296310425,0.978920489549637
previous_action,0.0040000001899898,0.0049999998882412
time_delta_ms,0.35318737030029296,0.3709779873490333
delivery_growth_ratio,1.0029160737991334,1.00400670170784
max_delivery_growth_ratio,1.0027953028678893,1.0039718329906464
rtt_inflation,1.3309477760604236,1.4827233447859949
windowed_vs_max_rate_ratio,1.0,1.0
loss_to_windowed_rate_ratio,0.0,0.0
current_rtt_ms_avg,68.20834904909132,76.81141205132
current_rtt_ms_min,67.15759873390196,75.29055178165434
current_rtt_ms_max,69.46510076522827,78.32690000534058
current_rtt_ms_delta,1.572896838188171,2.5128474831581085
windowed_delivery_rate_mbps_avg,92.43801191449165,165.0536175072192
windowed_delivery_rate_mbps_min,92.40208864212036,163.16975116729733
windowed_delivery_rate_mbps_max,92.48339951038362,167.91844189167014
windowed_delivery_rate_mbps_delta,1.317108720541,2.631645351648324
current_loss_mbps_avg,0.0,0.0
current_loss_mbps_min,0.0,0.0
current_loss_mbps_max,0.0,0.0
current_loss_mbps_delta,0.0,0.0
current_min_rtt_ratio_avg,0.9715557008981706,0.9772341817617415
current_min_rtt_ratio_min,0.9624572992324828,0.9724507927894592
current_min_rtt_ratio_max,0.9793572545051574,0.9829813241958618
current_min_rtt_ratio_delta,0.02052467465400687,0.03265277743339528
previous_action_avg,0.0042500001145526,0.0052499999292194
previous_action_min,0.0040000001899898,0.0049999998882412
previous_action_max,0.0049999998882412,0.006000000052154
previous_action_delta,0.0010000000474974,0.0010000001639127
