feature,p90,p95
current_rtt_ms,71.17780089378357,79.54379796981807
current_rttvar_ms,0.8360000252723694,1.090000033378601
current_delivery_rate_mbps,92.63155937194824,160.43535470962516
windowed_delivery_rate_mbps,92.386314868927,160.30619859695426
max_windowed_delivery_rate_mbps,92.60942935943604,171.77663683891296
current_loss_mbps,0.0,0.0
current_min_rtt_ratio,0.9714146256446838,0.978288894891739
previous_action,0.0040000001899898,0.006000000052154
time_delta_ms,0.3712874293327331,0.3938782572746276
delivery_growth_ratio,1.003276228904724,1.0047409415245057
max_delivery_growth_ratio,1.0029614448547364,1.0046204447746279
rtt_inflation,1.386053780263128,1.5411344308395225
windowed_vs_max_rate_ratio,1.0,1.0
loss_to_windowed_rate_ratio,0.0,0.0
current_rtt_ms_avg,71.16695076227188,79.58247527480123
current_rtt_ms_min,69.86799836158752,76.569002866745
current_rtt_ms_max,72.12299704551697,82.45300054550171
current_rtt_ms_delta,2.259999513626098,3.3497989177703813
windowed_delivery_rate_mbps_avg,92.37743586301804,160.25753617286682
windowed_delivery_rate_mbps_min,92.33272194862366,159.11548495292658
windowed_delivery_rate_mbps_max,92.43597984313963,161.13643050193784
windowed_delivery_rate_mbps_delta,1.2659543752670286,2.4849051237106314
current_loss_mbps_avg,0.0,0.0
current_loss_mbps_min,0.0,0.0
current_loss_mbps_max,0.0,0.0
current_loss_mbps_delta,0.0,0.0
current_min_rtt_ratio_avg,0.9692224472761155,0.9759474545717238
current_min_rtt_ratio_min,0.9579566240310669,0.9698299169540404
current_min_rtt_ratio_max,0.9788467764854432,0.9829336643218993
current_min_rtt_ratio_delta,0.029767602682113585,0.04425005912780754
previous_action_avg,0.0042500001145526,0.006000000052154
previous_action_min,0.0040000001899898,0.0049999998882412
previous_action_max,0.0049999998882412,0.0070000002160668
previous_action_delta,0.0010000001639127,0.0020000000949949
