feature,p90,p95
current_rtt_ms,77.24299907684326,95.19500136375429
current_rttvar_ms,0.7519999742507935,1.0427999973297113
current_delivery_rate_mbps,112.80285358428955,165.7645344734192
windowed_delivery_rate_mbps,112.46142148971563,166.4990520477295
max_windowed_delivery_rate_mbps,136.86713933944702,168.00061464309692
current_loss_mbps,0.0,0.0
current_min_rtt_ratio,0.9791238069534303,0.9821857810020448
previous_action,0.0040000001899898,0.006000000052154
time_delta_ms,0.300949764251709,0.3066808104515075
delivery_growth_ratio,1.0031086206436157,1.0040383338928223
max_delivery_growth_ratio,1.0028751850128175,1.0040111303329469
rtt_inflation,1.511110625648548,1.857079127146159
windowed_vs_max_rate_ratio,1.0,1.0
loss_to_windowed_rate_ratio,0.0,0.0
current_rtt_ms_avg,77.02114939689638,95.37910133600235
current_rtt_ms_min,74.84899759292603,91.29640102386473
current_rtt_ms_max,79.8069977760315,96.21300101280212
current_rtt_ms_delta,1.8923997879028334,3.3474040031433083
windowed_delivery_rate_mbps_avg,111.88430964946753,166.4905434846878
windowed_delivery_rate_mbps_min,107.83475160598756,166.26521348953247
windowed_delivery_rate_mbps_max,116.16052627563494,166.7184352874756
windowed_delivery_rate_mbps_delta,2.4446582794189458,3.9310514926910396
current_loss_mbps_avg,0.0,0.0
current_loss_mbps_min,0.0,0.0
current_loss_mbps_max,0.0,0.0
current_loss_mbps_delta,0.0,0.0
current_min_rtt_ratio_avg,0.9790217965841292,0.9813783526420592
current_min_rtt_ratio_min,0.974300467967987,0.9776905179023744
current_min_rtt_ratio_max,0.9831469774246215,0.9861853718757628
current_min_rtt_ratio_delta,0.02057490348815912,0.038555026054382185
previous_action_avg,0.0040000001899898,0.0052500000456348
previous_action_min,0.003000000026077,0.0049999998882412
previous_action_max,0.0049999998882412,0.006000000052154
previous_action_delta,0.0010000001639127,0.0020000000949949
